REGIÃO,UF,ESTAÇÃO,CODIGO (WMO),LATITUDE,LONGITUDE,ALTITUDE,DATA DE FUNDAÇÃO
N,PA,Belém,A201,-1.4112280000000001,-48.439512,21.17,20/01/03
N,PA,Castanhal,A202,-1.300875,-47.947967,47.13,24/01/03
N,PA,Medicilândia,A209,-3.510943,-52.96345,251.68,17/02/08
N,PA,Pacajá,A210,-3.8436111000000004,-50.63805555,89.02,27/02/08
N,PA,Placas,A211,-3.86404,-54.216416,100.45,14/02/08
N,PA,Paragominas,A212,-2.99027777,-47.40777777,113.0,18/10/07
N,PA,Tomé-Açu,A213,-2.59249999,-48.36055555,42.95,14/10/07
N,PA,Rondon do Pará,A214,-4.827501,-48.173556,203.0,17/04/08
N,PA,Salinópolis,A215,-0.618884,-47.356596,23.18,14/06/08
N,PA,São Félix do Xingu,A216,-6.639622,-51.956965999999994,211.0,15/11/16
N,PA,Bragança,A226,-1.047258,-46.785790000000006,41.0,11/03/08
N,PA,Soure,A227,-0.72777777,-48.51583333,12.54,27/04/08
N,PA,Breves,A228,-1.680251,-50.478139,11.0,20/10/17
N,PA,Tucuruí,A229,-3.8227599999999997,-49.674956,137.94,01/03/08
N,PA,SERRA DOS CARAJAS,A230,-6.077426999999999,-50.142265,707.0,03/09/08
N,PA,Itaituba,A231,-4.27694443,-55.99305555,24.46,17/02/08
N,PA,Óbidos,A232,-1.880789,-55.519856000000004,89.64,05/07/12
N,PA,Santana do Araguaia,A233,-9.338611,-50.35028,176.75,30/05/08
N,PA,Tucumã,A234,-6.743208,-51.141899,320.93,18/07/08
N,PA,Novo Repartimento,A235,-4.243989,-49.939308000000004,100.76,23/07/08
N,PA,Cametá,A236,-2.2396529999999997,-49.499827,9.92,20/06/08
N,PA,Monte Alegre,A239,-2.000054,-54.076479000000006,100.53,06/07/12
N,PA,Marabá,A240,-5.366447,-49.051165999999995,116.58,25/06/09
N,PA,Conceição do Araguaia,A241,-8.30361,-49.28277,175.74,04/09/08
N,PA,MINA DO PALITO,A246,-6.320067,-55.787783,259.88,28/09/10
N,PA,Xinguara,A247,-7.110517999999999,-49.926072,245.0,11/09/16
N,PA,Capitão Poço,A248,-1.734766,-47.0575,79.1,18/04/11
N,PA,Santarém,A250,-2.5025720000000002,-54.720279000000005,137.0,02/09/15
N,PA,Dom Eliseu,A252,-4.280556,-47.563972,251.0,08/03/18
N,PA,Altamira,A253,-3.27027777,-52.39472221,191.0,25/10/18
N,PA,Redenção,A254,-8.04333333,-50.00694444,199.0,11/07/19
