Ano;Nº Convênio;Nome Convenente;UF;Tipo Ente Convenente;Objeto Convênio;Situação Convênio;Nome Concedente;Valor Convênio;Valor Contrapartida;Valor Liberado;Valor Última Liberação;Data Publicação;Data Início Vigência;Data Fim Vigência
2016;833784;MUNICIPIO DE FLORESTA;PE;Municipal;108A Edicao Do Sao Joao.;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 139.650,00;R$ 350,00; R$ -   ; R$ -   ;13/06/2016;04/06/2016;23/08/2016
2016;832536;MUNICIPIO DE ASSU;RN;Municipal;Realizacao Do Sao Joao Do Assu - O Mais Antigo Do Mundo.;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 195.000,00;R$ 5.000,00;R$ 195.000,00;R$ 195.000,00;08/06/2016;31/05/2016;31/07/2016
2016;832016;SURUBIM PREFEITURA;PE;Municipal;Festejos Juninos 2016;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 485.000,00;R$ 5.000,00;R$ 485.000,00;R$ 485.000,00;03/06/2016;26/05/2016;28/07/2016
2016;832003;PIUMA PREFEITURA;ES;Municipal;60 Festa Dos Pescadores;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 259.500,00;R$ 500,00;R$ 259.500,00;R$ 259.500,00;09/06/2016;09/06/2016;29/07/2016
2016;832001;MUNICIPIO DE ITUIUTABA;MG;Municipal;Pelc Projeto Especial De Lazer E Cultura 6A Edicao Shows Com Grupo Revelacao, E Humberto E Ronaldo.;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 163.361,00;R$ 6.639,00;R$ 163.361,00;R$ 163.361,00;07/06/2016;10/06/2016;26/07/2016
2016;831999;MUNICIPIO DE SAPIRANGA;RS;Municipal;Xxxiii Festa Das Rosas;Assinado;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 800.000,00;R$ 3.263,20; R$ -   ; R$ -   ;06/07/2016;17/10/2016;20/12/2016
2016;830929;SANTA ROSA DO TOCANTINS PREFEITURA MUNICIPAL;TO;Municipal;Xiv Festival De Musica Folclorica De Santa Rosa Do Tocantins;Aguardando Prestação de Contas;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 98.000,00;R$ 2.000,00;R$ 98.000,00;R$ 98.000,00;19/05/2016;16/05/2016;01/07/2016
2016;830927;MUNICIPIO DE PONTAL DO ARAGUAIA;MT;Municipal;16A Temporada De Praia - Praia Da Arara.;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 140.000,00;R$ 2.677,50;R$ 140.000,00;R$ 140.000,00;27/05/2016;16/05/2016;06/09/2016
2016;830758;PREFEITURA MUNICIPAL DO SITIO NOVO DO TOCANTINS;TO;Municipal;Xvi Festa Junina Arraia No Nosso Sitio;Aguardando Prestação de Contas;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 99.500,00;R$ 500,00;R$ 99.500,00;R$ 99.500,00;19/05/2016;13/05/2016;27/06/2016
2016;830659;PREFEITURA MUNICIPAL DE BRAGANCA;PA;Municipal;Carnaval De Braganca;Assinado;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 241.046,16;R$ 1.000,00; R$ -   ; R$ -   ;15/07/2016;30/11/2016;28/03/2017
2016;830658;ATIBAIA PREFEITURA;SP;Municipal;10A Festa Nordestina De Atibaia;Assinado;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 200.000,00;R$ 2.980,29; R$ -   ; R$ -   ;12/07/2016;01/11/2016;30/12/2016
2016;828265;MUNICIPIO DE CRIXAS;GO;Municipal;As Tradicionais Cavalhadas De Crixas.;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 100.000,00;R$ 4.000,00;R$ 100.000,00;R$ 100.000,00;01/06/2016;02/06/2016;19/07/2016
2016;828264;MUNICIPIO DE DRACENA;SP;Municipal;4A Realizacao Do Tudo E Brasil.;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 298.000,00;R$ 6.000,00;R$ 298.000,00;R$ 298.000,00;01/06/2016;09/06/2016;24/07/2016
2016;828263;ESTADO DE SERGIPE;SE;Estadual;Realizar O Evento Arrasta-Pe Do 18 Do Forte.;Aguardando Prestação de Contas;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 240.000,00;R$ 12.500,00;R$ 240.000,00;R$ 90.000,00;03/06/2016;25/05/2016;11/07/2016
2016;828261;MUNICIPIO DE ITUMBIARA;GO;Municipal;Xii Arraia De Itumbiara;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 500.000,00;R$ 40.000,00;R$ 500.000,00;R$ 500.000,00;23/05/2016;06/06/2016;26/07/2016
2016;828260;MUNICIPIO DE MARAGOGI;AL;Municipal;7O Festival Da Lagosta De Maragogi;Assinado;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 200.000,00;R$ 4.000,00; R$ -   ; R$ -   ;20/06/2016;28/10/2016;15/12/2016
2016;828259;MUNICIPIO DE SATUBINHA;MA;Municipal;Realizacao Das Festas Juninas 2016 No Municipio De Satubinha-Ma.;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 343.649,65;R$ 350,35; R$ -   ; R$ -   ;08/06/2016;28/05/2016;02/08/2016
2016;828257;APARECIDA DE GOIANIA PREFEITURA MUNICIPAL;GO;Municipal;10O Edicao Festival De Quadrilhas Em Aparecida De Goiania.;Prestação de Contas enviada para Análise;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 100.000,00;R$ 5.000,00;R$ 100.000,00;R$ 100.000,00;31/05/2016;10/06/2016;30/07/2016
2016;828252;PREFEITURA MUNICIPAL DE ESTREITO;MA;Municipal;20Osao Joao 2016;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 311.140,00;R$ 12.960,00; R$ -   ; R$ -   ;08/06/2016;07/06/2016;25/07/2016
2016;828251;MUNICIPIO DE RIANAPOLIS;GO;Municipal;12A Semana Ruralista De Rianapolis;Aguardando Prestação de Contas;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 119.880,00;R$ 120,00;R$ 119.880,00;R$ 119.880,00;20/05/2016;16/05/2016;05/07/2016
2016;828114;MUNICIPIO DE SERRA TALHADA;PE;Municipal;Acoes Promocionais Para Difundir O Potencial Turistico Do Municipio De Serra Talhada-Pe;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 600.000,00;R$ 3.000,00; R$ -   ; R$ -   ;13/06/2016;30/06/2016;30/04/2017
2016;828092;MUNICIPIO DE GARANHUNS;PE;Municipal;Acoes Promocionais Para Difundir O Potencial Turistico Do Municipio De Garanhuns-Pe.;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 700.000,00;R$ 5.000,00; R$ -   ; R$ -   ;08/06/2016;30/06/2016;31/05/2017
2016;828089;SECRETARIA DE ESTADO DE TURISMO;RJ;Estadual;Promocao E Marketing Do Turismo No Mercado Nacional;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 487.500,00;R$ 48.750,00; R$ -   ; R$ -   ;14/07/2016;25/06/2016;30/06/2017
2016;828069;PREFEITURA MUNICIPAL DE FREI PAULO;SE;Municipal;Exposicao Agropecuaria Da Regiao Centro Oeste Do Estado De Sergipe Na Cidade De Frei Paulo.;Aguardando Prestação de Contas;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 199.219,00;R$ 781,00;R$ 199.219,00;R$ 199.219,00;18/05/2016;12/05/2016;30/06/2016
2016;828068;MUNICIPIO DE AFRANIO;PE;Municipal;Expoafra 2016;Aguardando Prestação de Contas;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 499.500,00;R$ 500,00;R$ 499.500,00;R$ 499.500,00;12/05/2016;09/05/2016;30/06/2016
2016;828067;EMPRESA MUNICIPAL DE TURISMO DE B HORIZONTE SA BELOTUR;MG;Municipal;Arraial De Belo 2016;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 389.610,00;R$ 390,00;R$ 389.610,00;R$ 389.610,00;13/06/2016;09/06/2016;26/07/2016
2016;828066;MUNICIPIO DE MARTINOPOLIS;SP;Municipal;7O Rodeio Show De Martinopolis;Aguardando Prestação de Contas;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 289.000,00;R$ 600,00;R$ 289.000,00;R$ 289.000,00;18/05/2016;16/05/2016;05/07/2016
2016;828065;PREFEITURA DO MUNICIPIO DE GAVIAO PEIXOTO;SP;Municipal;6A Festa Junina/Julina De Gaviao Peixoto.;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 121.217,00;R$ 4.783,00;R$ 121.217,00;R$ 121.217,00;23/05/2016;08/06/2016;26/07/2016
2016;828064;MUNICIPIO DE LAGES;SC;Municipal;Evento Natal Felicidade 2016 No Municipio De Lages.;Assinado;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 200.000,00;R$ 5.000,00; R$ -   ; R$ -   ;03/06/2016;25/11/2016;23/01/2017
2016;828063;CARIRA PREFEITURA;SE;Municipal;Xxiii Festa Do Vaqueiro De Carira;Aguardando Prestação de Contas;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 138.000,00;R$ 2.000,00;R$ 138.000,00;R$ 138.000,00;12/05/2016;06/05/2016;29/06/2016
2016;828062;LIMOEIRO PREFEITURA;PE;Municipal;Festejos Juninos/2016, Municipio De Limoeiro/Pe.;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 770.000,00;R$ 3.000,00;R$ 770.000,00;R$ 770.000,00;18/05/2016;03/06/2016;25/07/2016
2016;828061;PREFEITURA MUNICIPAL DE SAO SEBASTIAO DO TOCANTINS;TO;Municipal;Realizacao Da 13A Festa Do Peixe 2016.;Prestação de Contas Iniciada por Antecipação;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 200.000,00;R$ 7.000,00;R$ 200.000,00;R$ 200.000,00;27/05/2016;11/05/2016;29/06/2016
2016;828060;PINTOPOLIS PREFEITURA MUNICIPAL;MG;Municipal;Realizacao Da Iv Edicao Da Festa Sao Joao Na Praca Em Pintopolis - Mg;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 100.000,00;R$ 500,00;R$ 100.000,00;R$ 100.000,00;19/05/2016;08/06/2016;26/07/2016
2016;828059;PREFEITURA DE PARAIBUNA;SP;Municipal;Festa De Santo Antonio.;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 300.000,00;R$ 3.000,00;R$ 300.000,00;R$ 300.000,00;18/05/2016;24/05/2016;17/07/2016
2016;828058;MUNICIPIO DE PINDAMONHANGABA;SP;Municipal;3O Festival Junino Do Vale Do Paraiba;Em Execução;COORDENACAO-GERAL DE CONVENIOS - CGCV;R$ 350.000,00;R$ 5.500,00;R$ 350.000,00;R$ 350.000,00;24/05/2016;02/06/2016;19/07/2016
